Country,Region_Grid,Publisher,Data_Vintage,Method,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Applicability_Wind_Solar,Applicability_Other,Crediting_Period_1,Crediting_Period_2,Crediting_Period_3,Notes,Sources,URLs
Indonesia,Palu Parigi,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Palu Parigi,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Lombok,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.82499999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Lombok,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84299999999999997,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bima,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70799999999999996,NA,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Bima,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72099999999999997,NA,0.59199999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sumbawa,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68500000000000005,NA,0.64400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Sumbawa,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71599999999999997,NA,0.64400000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kupang,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,0.84699999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Kupang,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72299999999999998,NA,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ende,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3540000000000001,NA,0.76300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Ende,NA,Ex-post,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6419999999999999,NA,0.77800000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,Maumere,NA,Ex-ante,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74399999999999999,NA,0.65400000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
